com.tencent.tmgp.pubgmhd 3 3 4 4
com.tencent.ig 3 3 4 4
com.pubg.krmobile 3 3 4 4
com.vng.pubgmobile 3 3 4 4
com.rekoo.pubgm 3 3 4 4
com.tencent.igce 3 3 4 4
com.tencent.tmgp.sgame 3 4 4 5
com.tencent.tmgp.speedmobile 3 4 4 5
com.tencent.tmgp.cod 5 5 5 5
com.tencent.tmgp.cf 3 4 4 5
com.tencent.YiRen 3 3 4 4
com.tencent.af 3 3 4 4
com.tencent.tmgp.WePop 3 3 4 4
com.miHoYo.Yuanshen 5 5 5 5
com.miHoYo.ys.bilibili 5 5 5 5
com.miHoYo.bh3tw 5 5 5 5
com.tencent.tmgp.bh3 5 5 5 5
com.miHoYo.GenshinImpact 5 5 5 5
com.protopop.brightridge 7 7 7 7
hk.com.joybomb.bbm3 3 3 4 4
com.pwrd.hotta.laohu 4 4 4 4
